INFO  - 2014-11-08 17:11:37.865; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Development\solr-4.10.2\example\solr\collection1\data\index
INFO  - 2014-11-08 17:11:38.073; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Development\solr-4.10.2\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Development\solr-4.10.2\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-11-08 17:11:38.074; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-08 17:11:38.081; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-11-08 17:11:38.082; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-11-08 17:11:38.083; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-11-08 17:11:38.092; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-11-08 17:11:38.092; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-11-08 17:11:38.181; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-11-08 17:11:38.190; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-08 17:11:38.191; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-08 17:11:38.191; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-08 17:11:38.192; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-08 17:11:38.198; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.199; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.200; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-11-08 17:11:38.203; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.203; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-11-08 17:11:38.207; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-08 17:11:38.208; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-11-08 17:11:38.209; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-08 17:11:38.210; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-08 17:11:38.212; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-08 17:11:38.213; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-08 17:11:38.213; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-08 17:11:38.214; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-08 17:11:38.218; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-11-08 17:11:38.220; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-11-08 17:11:38.236; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-11-08 17:11:38.256; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-11-08 17:11:38.258; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.258; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.258; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.258; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.258; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.259; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.259; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.260; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.260; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.260; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-11-08 17:11:38.300; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-08 17:11:38.307; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-08 17:11:38.309; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-08 17:11:38.310; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-08 17:11:38.313; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-08 17:11:38.336; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-11-08 17:11:38.336; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-11-08 17:11:38.430; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Development\solr-4.10.2\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Development\solr-4.10.2\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-11-08 17:11:38.431; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-08 17:11:38.440; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@406cacdc[collection1] main
INFO  - 2014-11-08 17:11:38.449; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\Development\solr-4.10.2\example\solr\collection1\conf
INFO  - 2014-11-08 17:11:38.450; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\Development\solr-4.10.2\example\solr\collection1\conf}
INFO  - 2014-11-08 17:11:38.452; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\Development\solr-4.10.2\example\solr\collection1\conf
INFO  - 2014-11-08 17:11:38.461; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=C:\Development\solr-4.10.2\example\solr\collection1\conf
INFO  - 2014-11-08 17:11:38.461; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-11-08 17:11:38.461; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-11-08 17:11:38.462; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\Development\solr-4.10.2\example\solr\collection1\conf
INFO  - 2014-11-08 17:11:38.463; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=C:\Development\solr-4.10.2\example\solr\collection1\conf
INFO  - 2014-11-08 17:11:38.464; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-11-08 17:11:38.465; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-11-08 17:11:38.465; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-11-08 17:11:38.466; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=C:\Development\solr-4.10.2\example\solr\collection1\conf
INFO  - 2014-11-08 17:11:38.466; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=C:\Development\solr-4.10.2\example\solr\collection1\conf
INFO  - 2014-11-08 17:11:38.467; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-11-08 17:11:38.468; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-11-08 17:11:38.470; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-11-08 17:11:38.470; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-11-08 17:11:38.476; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-11-08 17:11:38.482; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-11-08 17:11:38.490; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-11-08 17:11:38.492; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
